Date,Time,M
04-03-20,22:09,3.4
03-03-20,18:39,3.3
02-03-20,20:26,3.5
02-03-20,20:12,3.8
02-03-20,1:43,3.3
26-02-20,16:41,3.2
25-02-20,18:05,3.4
24-02-20,2:09,3.4
23-02-20,21:23,3
23-02-20,16:33,3
21-02-20,0:57,4.8
18-02-20,8:30,2.4
17-02-20,12:11,4.7
17-02-20,11:32,2.2
17-02-20,11:32,2.7
16-02-20,21:54,1.9
16-02-20,8:30,3.5
16-02-20,2:27,3.2
15-02-20,10:04,2.8
14-02-20,22:44,2.9
14-02-20,20:49,3.1
14-02-20,1:27,3.3
13-02-20,8:32,3.6
13-02-20,5:43,3.1
12-02-20,16:20,3.4
12-02-20,0:39,3.9
11-02-20,19:15,2.3
10-02-20,5:22,4.8
09-02-20,20:57,3.1
09-02-20,17:58,2.3
09-02-20,17:49,2.8
09-02-20,0:16,2.9
08-02-20,11:41,3.3
07-02-20,18:50,2.6
05-02-20,10:49,4.1
05-02-20,2:10,1.6
05-02-20,1:56,2.1
05-02-20,1:54,2.4
05-02-20,1:49,2.4
05-02-20,1:47,3.4
05-02-20,1:45,1.9
05-02-20,1:39,2.6
03-02-20,6:53,2.5
28-01-20,20:21,2.5
28-01-20,19:19,3.3
27-01-20,14:46,2.6
27-01-20,9:41,2.9
26-01-20,11:56,3.6
23-01-20,20:50,2.6
22-01-20,14:13,3.4
21-01-20,1:23,3.5
21-01-20,1:00,3.4
20-01-20,22:38,2.6
20-01-20,5:55,3.8
20-01-20,2:02,3.6
19-01-20,13:31,4.8
19-01-20,12:08,2.8
17-01-20,18:46,3.3
16-01-20,9:31,3.1
15-01-20,13:36,2.8
15-01-20,13:01,2.5
15-01-20,12:59,2.8
15-01-20,12:53,2.4
15-01-20,12:51,2.7
14-01-20,20:16,3.7
13-01-20,5:19,4.2
10-01-20,22:06,4.6
10-01-20,9:12,2.9
08-01-20,22:05,4.8
06-01-20,22:24,3.8
05-01-20,23:12,5
04-01-20,18:09,3.9
03-01-20,21:00,3.6
03-01-20,16:29,3.7
03-01-20,1:59,4.1
03-01-20,1:37,3.3
03-01-20,1:31,3.9
01-01-20,14:28,3.5
30-12-19,12:22,3.1
29-12-19,4:04,3.7
28-12-19,10:03,3.4
26-12-19,7:22,4.8
21-12-19,6:05,3.4
16-12-19,12:52,4.7
16-12-19,11:29,3.9
16-12-19,10:56,3.8
15-12-19,3:36,4.2
14-12-19,14:10,3.5
14-12-19,12:36,3.6
12-12-19,19:31,3.7
12-12-19,19:12,3.7
12-12-19,14:51,3.2
11-12-19,23:58,3.8
10-12-19,5:54,3
08-12-19,17:19,2.9
08-12-19,4:43,3.3
08-12-19,3:33,3.3
06-12-19,5:56,3.6
06-12-19,5:56,3.5
05-12-19,3:38,3.6
03-12-19,12:30,3.1
01-12-19,5:41,3.8
25-11-19,6:38,3.9
24-11-19,23:31,2.8
24-11-19,21:59,2.8
22-11-19,22:24,3.8
21-11-19,10:39,2.6
21-11-19,7:24,3.9
19-11-19,2:11,3.4
19-11-19,1:57,2.4
16-11-19,19:30,2.9
14-11-19,22:59,3.7
14-11-19,19:10,3.8
14-11-19,12:51,3.2
13-11-19,8:02,3.1
09-11-19,1:19,4.3
06-11-19,9:53,3.3
05-11-19,9:48,3.6
05-11-19,3:25,3.9
05-11-19,3:16,3.1
04-11-19,18:34,2.7
02-11-19,16:50,3.6
01-11-19,8:38,5
30-10-19,9:15,3.1
29-10-19,5:00,2.4
26-10-19,18:47,2.9
26-10-19,10:50,3.9
25-10-19,21:11,3.6
23-10-19,17:10,2.5
19-10-19,20:03,3.7
18-10-19,12:25,3.9
18-10-19,11:11,3.3
17-10-19,13:11,2.9
17-10-19,7:09,2.8
14-10-19,3:02,4
10-10-19,14:56,3.8
10-10-19,6:11,3.7
09-10-19,18:52,3.8
06-10-19,17:08,3.4
06-10-19,2:29,2.7
02-10-19,17:11,3.1
30-09-19,4:26,3.7
29-09-19,21:57,2.7
27-09-19,18:04,4.3
27-09-19,4:34,3.6
22-09-19,5:47,3
20-09-19,13:15,4.1
16-09-19,18:32,3.4
16-09-19,15:06,2.9
12-09-19,14:21,3.8
12-09-19,6:19,2.9
11-09-19,19:01,2.7
11-09-19,15:29,3.4
10-09-19,13:33,3.4
09-09-19,20:54,3
09-09-19,15:36,2.6
09-09-19,14:57,3.3
09-09-19,7:59,2.4
08-09-19,14:52,2.7
08-09-19,14:12,4.3
07-09-19,17:36,2.7
07-09-19,15:15,2.7
07-09-19,15:08,3.3
07-09-19,3:56,4.6
06-09-19,21:23,2.9
06-09-19,16:32,2.8
